"날짜","종가","오픈","고가","저가","변동 %"
"2012년 09월 13일","1,128.82","1,127.14","1,129.47","1,126.40","0.16%"
"2012년 09월 12일","1,127.06","1,128.54","1,128.54","1,125.70","-0.11%"
"2012년 09월 11일","1,128.34","1,128.95","1,130.90","1,128.10","-0.06%"
"2012년 09월 10일","1,129.00","1,130.30","1,130.30","1,127.75","-0.12%"
"2012년 09월 07일","1,130.30","1,129.05","1,131.75","1,129.05","-0.34%"
"2012년 09월 06일","1,134.15","1,136.10","1,136.80","1,133.90","-0.22%"
"2012년 09월 05일","1,136.66","1,135.80","1,136.86","1,134.10","0.27%"
"2012년 09월 04일","1,133.63","1,131.58","1,133.70","1,130.80","0.15%"
"2012년 09월 03일","1,131.98","1,133.79","1,134.50","1,130.10","-0.16%"
"2012년 08월 31일","1,133.79","1,134.78","1,137.00","1,133.55","-0.10%"
"2012년 08월 30일","1,134.88","1,135.30","1,136.10","1,133.55","-0.04%"
